coef,features
-0.168803543220825,cg00602811
-0.111931847399164,cg00871610
0.0650666566353305,cg01578875
-0.0239197790103679,cg02047661
0.0659137822267434,cg02554391
-0.172496001273783,cg03698343
0.201634212031249,cg04987734
-0.0788403281998766,cg05203217
-0.00635363758918688,cg05575921
-0.0280979395260293,cg05593667
0.0352759804140457,cg07675998
-0.133149582991964,cg10668363
-0.125557128970934,cg11436113
0.0040488872463435,cg12265950
0.0210981552610563,cg12303084
0.197169088062328,cg15310871
-0.0302434693013387,cg15681239
-0.103847520276951,cg15804973
-0.0526816464568497,cg17144149
-0.0924425145102627,cg17232357
-0.0242131995154484,cg18755543
-0.0442867615079988,cg18923740
-0.0552913807038072,cg19419291
-0.0698021329026771,cg21393163
-0.0121565225566649,cg21566642
-0.0677454887869908,cg21990700
0.0740971433630339,cg23598089
-0.06268561407587,cg24694018
-0.0608323547405691,cg25137372
0.0346945001485324,cg25315312
-0.00996126908044496,cg25325512
-0.0800065666865889,cg26140475
-0.120417232573046,cg26575622
